episode	diff
5000	22990
10000	18775
15000	16740
20000	15017
25000	14100
30000	13360
35000	12640
40000	12076
45000	11494
50000	10987
55000	10440
60000	10364
65000	9895
70000	9617
75000	9801
80000	9414
85000	9299
90000	9065
95000	8752
100000	8634
105000	8479
110000	8164
115000	8013
120000	8036
125000	7901
130000	7886
135000	7673
140000	7564
145000	7294
150000	7263
155000	7200
160000	6980
165000	7066
170000	6803
175000	6729
180000	6835
185000	6808
190000	6526
195000	6535
200000	6522
205000	6425
210000	6431
215000	6256
220000	6364
225000	6383
230000	6272
235000	5913
240000	6043
245000	5779
250000	6162
255000	5996
260000	5723
265000	5828
270000	5751
275000	5590
280000	5642
285000	5530
290000	5655
295000	5529
300000	5649
305000	5428
310000	5495
315000	5476
320000	5632
325000	5553
330000	5539
335000	5216
340000	5357
345000	5184
350000	5201
355000	5313
360000	5221
365000	5131
370000	5035
375000	5067
380000	5172
385000	5122
390000	5091
395000	4967
400000	5148
405000	4882
410000	4833
415000	4924
420000	5032
425000	4819
430000	4877
435000	4697
440000	4738
445000	4598
450000	4757
455000	4718
460000	4731
465000	4674
470000	4679
475000	4640
480000	4541
485000	4600
490000	4568
495000	4584
500000	4529
505000	4603
510000	4508
515000	4503
520000	4511
525000	4469
530000	4461
535000	4542
540000	4269
545000	4362
550000	4450
555000	4366
560000	4403
565000	4237
570000	4331
575000	4291
580000	4189
585000	4264
590000	4190
595000	4308
600000	4297
605000	4124
610000	4266
615000	4128
620000	4169
625000	4213
630000	4129
635000	4066
640000	4307
645000	4176
650000	4147
655000	4052
660000	4022
665000	4064
670000	4197
675000	3990
680000	4189
685000	4073
690000	3997
695000	4021
700000	4034
705000	4000
710000	4067
715000	3921
720000	4048
725000	3912
730000	4034
735000	4044
740000	3911
745000	3887
750000	3958
755000	3891
760000	3782
765000	3958
770000	3768
775000	3823
780000	3771
785000	3954
790000	3847
795000	3878
800000	3799
805000	3778
810000	3847
815000	3765
820000	3770
825000	3841
830000	3595
835000	3746
840000	3843
845000	3713
850000	3748
855000	3812
860000	3654
865000	3791
870000	3793
875000	3645
880000	3715
885000	3579
890000	3584
895000	3566
900000	3869
905000	3725
910000	3710
915000	3626
920000	3641
925000	3672
930000	3662
935000	3466
940000	3705
945000	3698
950000	3573
