episode	epsilon	score	bonus	straight	full	low	high	yum
5000	1	39.24	0.01	0.0	0.0	0.0	0.0	0.0
10000	1	44.4	0.02	0.0	0.0	0.0	0.0	0.0
15000	1	45.38	0.02	0.0	0.0	0.0	0.0	0.0
20000	1	46.79	0.01	0.0	0.0	0.0	0.0	0.0
25000	1	48.1	0.05	0.0	0.0	0.0	0.0	0.0
30000	1	50.13	0.12	0.0	0.0	0.0	0.0	0.0
35000	1	50.79	0.08	0.0	0.0	0.0	0.0	0.0
40000	1	50.81	0.07	0.0	0.0	0.0	0.0	0.0
45000	1	49.11	0.1	0.0	0.0	0.0	0.0	0.0
50000	1	49.94	0.09	0.0	0.0	0.0	0.0	0.0
55000	1	50.5	0.12	0.0	0.0	0.0	0.0	0.0
60000	1	50.51	0.13	0.0	0.0	0.0	0.0	0.0
65000	1	51.84	0.15	0.0	0.0	0.0	0.0	0.0
70000	1	52.28	0.17	0.0	0.0	0.0	0.0	0.0
75000	1	52.36	0.13	0.0	0.0	0.0	0.0	0.0
80000	1	53.17	0.18	0.0	0.0	0.0	0.0	0.0
85000	1	52.09	0.13	0.0	0.0	0.0	0.0	0.0
90000	1	51.05	0.13	0.0	0.0	0.0	0.0	0.0
95000	1	52.26	0.09	0.0	0.0	0.0	0.0	0.0
100000	1	53.59	0.2	0.0	0.0	0.0	0.0	0.0
105000	1	52.92	0.18	0.0	0.0	0.0	0.0	0.0
110000	1	52.43	0.15	0.0	0.0	0.0	0.0	0.0
115000	1	53.94	0.2	0.0	0.0	0.0	0.0	0.0
120000	1	52.51	0.18	0.0	0.0	0.0	0.0	0.0
125000	1	53.48	0.14	0.0	0.0	0.0	0.0	0.0
130000	1	52.2	0.16	0.0	0.0	0.0	0.0	0.0
135000	1	53.48	0.15	0.0	0.0	0.0	0.0	0.0
140000	1	52.13	0.13	0.0	0.0	0.0	0.0	0.0
145000	1	52.18	0.12	0.0	0.0	0.0	0.0	0.0
150000	1	52.64	0.14	0.0	0.0	0.0	0.0	0.0
155000	1	51.95	0.11	0.0	0.0	0.0	0.0	0.0
160000	1	52.8	0.16	0.0	0.0	0.0	0.0	0.0
165000	1	53.65	0.19	0.0	0.0	0.0	0.0	0.0
170000	1	53.6	0.17	0.0	0.0	0.0	0.0	0.0
175000	1	52.51	0.18	0.0	0.0	0.0	0.0	0.0
