episode	eps	score	bonus	straight	full	low	high	yum
10000	1.00	94.79	0.11	0.18	0.46	0.84	0.36	0.07
20000	1.00	104.46	0.14	0.21	0.55	0.90	0.38	0.07
30000	1.00	101.53	0.10	0.17	0.53	0.86	0.44	0.03
40000	1.00	109.08	0.21	0.27	0.47	0.92	0.40	0.04
50000	0.99	106.93	0.19	0.19	0.51	0.90	0.42	0.06
60000	0.99	113.44	0.22	0.22	0.49	0.90	0.44	0.14
70000	0.99	114.54	0.23	0.25	0.50	0.94	0.45	0.06
80000	0.99	115.43	0.20	0.26	0.53	0.91	0.45	0.10
90000	0.99	121.6	0.27	0.26	0.62	0.96	0.55	0.05
100000	0.99	121.12	0.29	0.26	0.54	0.94	0.48	0.14
110000	0.99	126.91	0.39	0.27	0.64	0.94	0.47	0.14
120000	0.99	120.8	0.35	0.16	0.60	0.98	0.47	0.10
130000	0.98	116.61	0.26	0.24	0.57	0.93	0.48	0.07
140000	0.98	126.73	0.30	0.31	0.62	0.96	0.61	0.05
150000	0.98	126.85	0.26	0.29	0.71	0.92	0.60	0.09
160000	0.98	121.25	0.31	0.24	0.58	0.93	0.47	0.12
170000	0.98	124.93	0.30	0.23	0.60	0.94	0.58	0.10
180000	0.98	120.58	0.25	0.23	0.59	0.91	0.57	0.10
190000	0.98	122.92	0.33	0.24	0.59	0.94	0.51	0.08
200000	0.98	120.81	0.34	0.24	0.60	0.98	0.41	0.06
210000	0.97	124.22	0.33	0.19	0.58	0.94	0.60	0.11
220000	0.97	128.71	0.38	0.34	0.62	0.94	0.49	0.09
230000	0.97	129.52	0.34	0.32	0.64	0.97	0.54	0.08
240000	0.97	126.01	0.32	0.25	0.60	0.94	0.63	0.07
250000	0.97	133.33	0.38	0.20	0.76	0.98	0.61	0.11
260000	0.97	131.57	0.36	0.34	0.63	0.98	0.56	0.11
270000	0.97	129.51	0.36	0.28	0.60	0.96	0.63	0.07
280000	0.97	131.77	0.37	0.32	0.68	0.96	0.56	0.12
290000	0.96	126.02	0.33	0.28	0.61	0.97	0.52	0.06
300000	0.96	129.86	0.40	0.25	0.60	0.98	0.54	0.11
310000	0.96	126.28	0.35	0.26	0.57	0.95	0.53	0.12
320000	0.96	127.81	0.35	0.21	0.63	0.98	0.62	0.07
330000	0.96	127.67	0.34	0.25	0.62	0.96	0.54	0.14
340000	0.96	129.95	0.43	0.29	0.55	0.93	0.59	0.09
350000	0.96	128.94	0.33	0.28	0.63	0.97	0.61	0.11
360000	0.96	132.47	0.41	0.28	0.68	0.97	0.56	0.11
370000	0.95	133.34	0.43	0.26	0.69	0.96	0.58	0.09
380000	0.95	129.81	0.41	0.36	0.59	0.91	0.55	0.08
390000	0.95	130.25	0.37	0.30	0.62	0.99	0.55	0.08
400000	0.95	132.86	0.46	0.23	0.55	0.94	0.60	0.15
410000	0.95	132.42	0.38	0.26	0.63	0.94	0.63	0.11
420000	0.95	130.14	0.40	0.26	0.57	0.98	0.55	0.11
430000	0.95	131.6	0.38	0.24	0.65	0.96	0.58	0.11
440000	0.95	132.11	0.42	0.28	0.64	0.97	0.49	0.13
450000	0.94	125.65	0.37	0.26	0.63	0.96	0.58	0.03
460000	0.94	133.71	0.40	0.26	0.69	0.95	0.60	0.13
470000	0.94	134.09	0.39	0.32	0.66	0.99	0.55	0.12
480000	0.94	129.6	0.37	0.30	0.60	0.95	0.56	0.09
490000	0.94	136.28	0.42	0.31	0.70	0.96	0.60	0.16
500000	0.94	130.53	0.31	0.26	0.69	1.00	0.61	0.10
510000	0.94	130.25	0.38	0.32	0.56	0.94	0.55	0.16
520000	0.94	131.94	0.42	0.21	0.67	0.96	0.61	0.09
530000	0.93	139.08	0.47	0.30	0.67	0.98	0.59	0.18
540000	0.93	131.7	0.44	0.26	0.62	0.99	0.49	0.15
550000	0.93	131.34	0.39	0.31	0.58	0.99	0.58	0.10
560000	0.93	135.86	0.48	0.29	0.65	0.97	0.63	0.09
570000	0.93	137.26	0.48	0.34	0.62	0.94	0.65	0.10
580000	0.93	133.5	0.40	0.27	0.67	0.98	0.62	0.07
590000	0.93	128.08	0.38	0.25	0.60	0.96	0.62	0.07
600000	0.93	138.51	0.47	0.34	0.60	0.95	0.70	0.13
610000	0.92	135.94	0.44	0.39	0.61	0.99	0.55	0.10
620000	0.92	133.8	0.41	0.30	0.66	0.98	0.55	0.10
630000	0.92	133.69	0.40	0.27	0.62	0.95	0.67	0.11
640000	0.92	130.65	0.33	0.26	0.74	0.98	0.54	0.12
650000	0.92	135.54	0.43	0.25	0.75	0.93	0.53	0.17
660000	0.92	129.33	0.34	0.34	0.66	0.97	0.55	0.08
670000	0.92	130.4	0.38	0.30	0.56	0.96	0.61	0.11
680000	0.92	131.51	0.39	0.31	0.58	0.99	0.65	0.07
690000	0.91	134.63	0.46	0.34	0.63	0.99	0.57	0.07
700000	0.91	130.77	0.39	0.30	0.73	0.97	0.48	0.08
710000	0.91	134.02	0.42	0.37	0.58	0.99	0.63	0.08
720000	0.91	134.19	0.40	0.28	0.64	0.98	0.56	0.14
730000	0.91	133.39	0.42	0.31	0.60	0.97	0.67	0.08
740000	0.91	132.97	0.43	0.31	0.62	0.99	0.53	0.09
750000	0.91	136.97	0.56	0.29	0.63	0.96	0.54	0.09
760000	0.91	134.39	0.46	0.33	0.64	0.97	0.51	0.07
770000	0.90	137.95	0.52	0.38	0.57	0.97	0.52	0.15
780000	0.90	133.84	0.46	0.30	0.60	0.93	0.59	0.10
790000	0.90	135.2	0.35	0.33	0.70	0.99	0.62	0.13
800000	0.90	132.25	0.43	0.23	0.63	0.92	0.65	0.08
810000	0.90	136.36	0.43	0.27	0.69	0.97	0.65	0.10
820000	0.90	138.63	0.50	0.30	0.62	0.97	0.55	0.23
830000	0.90	139.22	0.49	0.27	0.71	0.96	0.64	0.09
840000	0.90	133.96	0.41	0.33	0.65	0.99	0.54	0.11
850000	0.89	139.91	0.54	0.25	0.74	0.96	0.65	0.08
860000	0.89	135.56	0.41	0.30	0.64	0.97	0.70	0.06
870000	0.89	137.97	0.48	0.29	0.71	0.98	0.63	0.07
880000	0.89	138.9	0.42	0.33	0.70	0.98	0.67	0.13
890000	0.89	134.33	0.45	0.24	0.64	0.96	0.63	0.09
900000	0.89	137.26	0.53	0.26	0.65	0.94	0.61	0.12
910000	0.89	138.38	0.41	0.26	0.74	0.97	0.61	0.21
920000	0.89	136.41	0.44	0.30	0.70	0.97	0.56	0.15
930000	0.88	136.95	0.42	0.33	0.68	0.97	0.63	0.13
940000	0.88	134.32	0.40	0.29	0.62	0.98	0.61	0.14
950000	0.88	134.77	0.38	0.37	0.64	0.95	0.60	0.16
960000	0.88	143.91	0.54	0.36	0.71	0.98	0.66	0.10
970000	0.88	138.0	0.41	0.29	0.71	0.98	0.69	0.11
980000	0.88	133.39	0.35	0.28	0.65	1.00	0.64	0.15
990000	0.88	136.45	0.43	0.29	0.67	0.99	0.66	0.08
1000000	0.88	137.94	0.46	0.34	0.61	0.98	0.65	0.13
1010000	0.87	140.55	0.48	0.31	0.71	0.96	0.67	0.10
1020000	0.87	140.38	0.45	0.34	0.66	0.99	0.68	0.17
1030000	0.87	138.93	0.47	0.36	0.62	0.97	0.66	0.12
1040000	0.87	135.14	0.48	0.35	0.60	0.97	0.55	0.13
1050000	0.87	137.62	0.49	0.27	0.69	0.96	0.57	0.14
1060000	0.87	138.21	0.50	0.31	0.66	0.98	0.62	0.09
1070000	0.87	140.01	0.53	0.32	0.65	0.97	0.62	0.14
1080000	0.87	135.91	0.41	0.28	0.65	0.98	0.64	0.12
1090000	0.87	133.83	0.39	0.26	0.61	0.97	0.69	0.10
1100000	0.86	138.14	0.48	0.30	0.64	0.96	0.54	0.21
1110000	0.86	140.82	0.50	0.41	0.64	0.96	0.62	0.12
1120000	0.86	140.08	0.39	0.37	0.70	0.95	0.68	0.16
1130000	0.86	136.68	0.37	0.38	0.62	1.00	0.65	0.14
1140000	0.86	140.69	0.45	0.31	0.66	0.96	0.70	0.16
1150000	0.86	139.62	0.47	0.41	0.66	0.95	0.60	0.12
1160000	0.86	136.88	0.50	0.39	0.54	0.97	0.55	0.12
1170000	0.86	141.61	0.47	0.41	0.74	0.97	0.65	0.10
1180000	0.85	139.48	0.51	0.34	0.70	0.97	0.61	0.07
1190000	0.85	138.82	0.46	0.27	0.72	0.97	0.60	0.12
1200000	0.85	141.19	0.53	0.34	0.67	0.95	0.67	0.10
1210000	0.85	141.91	0.37	0.37	0.78	1.00	0.69	0.16
1220000	0.85	135.25	0.42	0.37	0.68	0.96	0.58	0.08
1230000	0.85	135.85	0.39	0.33	0.67	0.97	0.67	0.09
1240000	0.85	136.35	0.40	0.32	0.74	0.97	0.62	0.09
1250000	0.85	133.48	0.41	0.26	0.58	0.98	0.67	0.14
1260000	0.84	137.7	0.38	0.28	0.70	0.98	0.67	0.15
1270000	0.84	131.59	0.42	0.35	0.58	0.98	0.56	0.07
1280000	0.84	139.89	0.54	0.32	0.66	0.98	0.60	0.13
1290000	0.84	140.97	0.46	0.32	0.79	0.95	0.64	0.11
1300000	0.84	136.15	0.46	0.34	0.64	0.94	0.62	0.06
1310000	0.84	143.72	0.48	0.35	0.74	0.99	0.69	0.13
1320000	0.84	138.68	0.42	0.30	0.71	0.99	0.57	0.18
1330000	0.84	139.47	0.46	0.39	0.73	0.97	0.58	0.10
1340000	0.83	135.92	0.44	0.32	0.61	0.96	0.60	0.14
1350000	0.83	141.03	0.37	0.39	0.75	0.97	0.64	0.17
1360000	0.83	145.02	0.52	0.39	0.71	0.98	0.62	0.16
1370000	0.83	136.62	0.46	0.35	0.68	0.96	0.56	0.09
1380000	0.83	141.18	0.51	0.34	0.64	0.95	0.66	0.13
1390000	0.83	140.97	0.46	0.36	0.71	0.98	0.61	0.16
1400000	0.83	138.63	0.40	0.33	0.68	0.99	0.70	0.09
1410000	0.83	136.8	0.44	0.30	0.60	0.98	0.68	0.13
1420000	0.82	138.18	0.48	0.32	0.66	0.98	0.63	0.08
1430000	0.82	141.48	0.51	0.23	0.72	0.98	0.68	0.11
1440000	0.82	136.75	0.48	0.29	0.61	0.96	0.67	0.13
1450000	0.82	140.89	0.49	0.29	0.71	0.98	0.62	0.15
1460000	0.82	144.69	0.57	0.31	0.75	0.94	0.68	0.12
1470000	0.82	138.74	0.52	0.20	0.72	0.97	0.59	0.15
1480000	0.82	138.82	0.46	0.34	0.67	0.97	0.55	0.16
1490000	0.82	142.63	0.54	0.30	0.64	0.98	0.68	0.14
1500000	0.81	139.66	0.47	0.28	0.69	0.99	0.67	0.13
1510000	0.81	147.35	0.62	0.35	0.69	0.98	0.66	0.14
1520000	0.81	143.18	0.49	0.43	0.70	0.97	0.61	0.14
1530000	0.81	142.63	0.49	0.27	0.76	0.95	0.68	0.15
1540000	0.81	143.76	0.54	0.34	0.72	1.00	0.61	0.14
1550000	0.81	145.33	0.57	0.38	0.66	0.95	0.77	0.10
1560000	0.81	137.36	0.46	0.28	0.73	0.95	0.61	0.09
1570000	0.81	138.33	0.41	0.33	0.67	0.98	0.69	0.11
1580000	0.80	138.73	0.44	0.32	0.61	0.97	0.66	0.17
1590000	0.80	138.19	0.44	0.33	0.66	0.99	0.61	0.13
1600000	0.80	145.52	0.56	0.31	0.73	0.99	0.66	0.14
1610000	0.80	143.06	0.45	0.31	0.77	0.99	0.67	0.17
1620000	0.80	142.67	0.50	0.41	0.61	0.98	0.70	0.09
1630000	0.80	143.79	0.47	0.27	0.74	0.98	0.65	0.21
1640000	0.80	143.68	0.46	0.38	0.76	0.99	0.66	0.13
1650000	0.80	140.2	0.45	0.33	0.67	1.00	0.61	0.17
1660000	0.79	135.04	0.40	0.37	0.69	0.98	0.60	0.08
1670000	0.79	139.73	0.46	0.34	0.69	0.99	0.65	0.10
1680000	0.79	133.04	0.41	0.32	0.62	0.98	0.55	0.13
1690000	0.79	137.1	0.44	0.36	0.64	0.98	0.54	0.12
1700000	0.79	134.43	0.41	0.37	0.60	0.96	0.56	0.16
1710000	0.79	138.76	0.47	0.34	0.64	0.98	0.60	0.11
1720000	0.79	142.7	0.51	0.38	0.65	0.98	0.60	0.15
1730000	0.79	141.65	0.49	0.36	0.68	0.97	0.69	0.10
1740000	0.78	144.49	0.58	0.33	0.72	0.96	0.63	0.13
1750000	0.78	140.12	0.42	0.28	0.76	1.00	0.62	0.16
1760000	0.78	141.53	0.50	0.44	0.71	0.97	0.64	0.09
1770000	0.78	142.61	0.50	0.30	0.76	0.98	0.60	0.13
1780000	0.78	142.18	0.53	0.28	0.68	0.99	0.68	0.13
1790000	0.78	140.4	0.47	0.34	0.71	0.99	0.63	0.11
1800000	0.78	139.33	0.45	0.35	0.68	0.97	0.58	0.16
1810000	0.78	139.67	0.51	0.34	0.59	0.99	0.65	0.13
1820000	0.77	143.72	0.57	0.29	0.66	0.98	0.69	0.10
1830000	0.77	139.85	0.48	0.33	0.66	0.98	0.65	0.14
1840000	0.77	142.08	0.50	0.35	0.66	0.94	0.69	0.15
1850000	0.77	143.88	0.52	0.40	0.61	0.99	0.70	0.12
1860000	0.77	141.02	0.48	0.27	0.70	0.99	0.70	0.13
1870000	0.77	141.19	0.50	0.30	0.68	0.99	0.60	0.16
1880000	0.77	143.35	0.51	0.34	0.73	1.00	0.67	0.13
1890000	0.77	147.63	0.60	0.29	0.73	0.98	0.70	0.16
1900000	0.76	139.17	0.50	0.33	0.69	0.97	0.59	0.09
1910000	0.76	144.37	0.58	0.30	0.64	0.99	0.66	0.17
1920000	0.76	145.18	0.55	0.38	0.70	0.99	0.63	0.13
1930000	0.76	144.84	0.52	0.38	0.70	0.99	0.70	0.11
1940000	0.76	142.76	0.50	0.33	0.75	0.96	0.66	0.12
1950000	0.76	146.95	0.54	0.38	0.66	0.98	0.70	0.20
1960000	0.76	149.2	0.58	0.38	0.73	0.98	0.74	0.13
1970000	0.76	141.25	0.51	0.31	0.65	0.95	0.66	0.18
1980000	0.75	145.98	0.50	0.38	0.76	0.99	0.68	0.12
1990000	0.75	146.25	0.60	0.33	0.62	0.98	0.71	0.19
2000000	0.75	138.81	0.57	0.26	0.75	0.98	0.50	0.07
2010000	0.75	144.25	0.51	0.34	0.75	0.98	0.64	0.14
2020000	0.75	137.43	0.44	0.31	0.67	0.98	0.61	0.12
2030000	0.75	140.65	0.46	0.28	0.67	0.97	0.64	0.20
2040000	0.75	142.68	0.56	0.23	0.72	0.98	0.62	0.16
2050000	0.75	142.94	0.52	0.33	0.72	0.96	0.68	0.12
2060000	0.75	142.52	0.53	0.30	0.64	0.98	0.64	0.18
2070000	0.74	143.63	0.52	0.43	0.68	0.99	0.60	0.13
2080000	0.74	135.01	0.42	0.27	0.66	0.96	0.65	0.11
2090000	0.74	142.98	0.52	0.34	0.67	0.98	0.68	0.12
2100000	0.74	142.11	0.53	0.37	0.62	0.97	0.63	0.13
2110000	0.74	144.03	0.53	0.32	0.75	0.99	0.59	0.14
2120000	0.74	138.88	0.45	0.44	0.61	0.99	0.67	0.06
2130000	0.74	142.75	0.51	0.43	0.72	0.97	0.67	0.06
2140000	0.74	144.96	0.59	0.35	0.69	0.98	0.61	0.14
2150000	0.73	138.37	0.47	0.34	0.65	0.96	0.64	0.13
2160000	0.73	148.94	0.55	0.39	0.72	0.98	0.68	0.19
2170000	0.73	140.28	0.42	0.41	0.71	0.97	0.61	0.14
2180000	0.73	140.45	0.46	0.38	0.66	0.96	0.62	0.16
2190000	0.73	140.94	0.51	0.33	0.59	0.99	0.63	0.17
2200000	0.73	142.52	0.48	0.30	0.72	0.98	0.69	0.12
2210000	0.73	140.1	0.49	0.39	0.61	0.98	0.63	0.11
2220000	0.73	141.42	0.42	0.41	0.73	0.99	0.64	0.11
2230000	0.72	143.82	0.54	0.30	0.76	0.98	0.64	0.12
2240000	0.72	138.78	0.48	0.31	0.66	0.95	0.68	0.09
2250000	0.72	140.96	0.51	0.33	0.68	0.98	0.63	0.13
2260000	0.72	142.82	0.56	0.39	0.74	0.96	0.62	0.05
2270000	0.72	145.67	0.57	0.37	0.65	0.97	0.66	0.15
2280000	0.72	142.25	0.49	0.39	0.73	0.97	0.66	0.07
2290000	0.72	140.67	0.46	0.37	0.71	0.95	0.63	0.11
2300000	0.72	149.28	0.62	0.38	0.61	1.00	0.65	0.22
2310000	0.71	144.83	0.54	0.35	0.67	0.98	0.73	0.11
2320000	0.71	140.59	0.48	0.32	0.76	0.99	0.62	0.08
2330000	0.71	150.03	0.62	0.33	0.71	0.99	0.75	0.18
2340000	0.71	149.32	0.61	0.32	0.71	0.99	0.70	0.19
2350000	0.71	141.77	0.48	0.36	0.62	1.00	0.73	0.12
2360000	0.71	136.6	0.42	0.25	0.73	0.99	0.63	0.09
2370000	0.71	140.24	0.50	0.35	0.64	0.96	0.63	0.11
2380000	0.71	146.1	0.55	0.36	0.72	0.96	0.69	0.12
2390000	0.70	145.4	0.51	0.38	0.73	0.99	0.59	0.17
2400000	0.70	143.44	0.48	0.32	0.72	1.00	0.68	0.16
2410000	0.70	142.64	0.52	0.34	0.69	0.99	0.69	0.06
2420000	0.70	141.29	0.55	0.29	0.69	1.00	0.66	0.09
2430000	0.70	144.51	0.55	0.31	0.76	0.98	0.63	0.11
2440000	0.70	143.85	0.57	0.28	0.73	0.96	0.63	0.15
2450000	0.70	143.31	0.53	0.31	0.65	1.00	0.70	0.12
2460000	0.70	140.73	0.48	0.33	0.67	0.96	0.69	0.12
2470000	0.69	148.25	0.57	0.34	0.68	0.98	0.73	0.18
2480000	0.69	143.37	0.44	0.34	0.73	1.00	0.65	0.21
2490000	0.69	144.08	0.56	0.38	0.67	0.99	0.59	0.11
2500000	0.69	145.69	0.53	0.39	0.76	0.98	0.60	0.13
2510000	0.69	144.52	0.47	0.36	0.73	0.97	0.67	0.15
2520000	0.69	145.9	0.51	0.41	0.63	0.97	0.72	0.16
2530000	0.69	147.23	0.62	0.29	0.71	0.98	0.64	0.17
2540000	0.69	141.38	0.45	0.37	0.72	1.00	0.63	0.14
2550000	0.68	145.84	0.53	0.34	0.79	0.99	0.63	0.15
2560000	0.68	143.35	0.55	0.30	0.73	0.99	0.61	0.15
2570000	0.68	144.2	0.54	0.38	0.70	0.98	0.61	0.14
2580000	0.68	141.23	0.51	0.30	0.70	0.98	0.65	0.08
2590000	0.68	148.05	0.55	0.33	0.73	1.00	0.73	0.10
2600000	0.68	143.21	0.51	0.31	0.67	0.99	0.70	0.11
2610000	0.68	144.16	0.51	0.33	0.71	0.99	0.66	0.13
2620000	0.68	144.03	0.53	0.24	0.75	1.00	0.69	0.13
2630000	0.67	144.04	0.49	0.41	0.65	0.99	0.68	0.15
2640000	0.67	143.75	0.50	0.32	0.75	0.96	0.67	0.13
2650000	0.67	139.97	0.45	0.38	0.65	0.97	0.63	0.17
2660000	0.67	139.31	0.48	0.26	0.72	0.99	0.57	0.13
2670000	0.67	141.2	0.51	0.34	0.62	0.92	0.69	0.14
2680000	0.67	143.87	0.50	0.35	0.69	0.99	0.67	0.20
2690000	0.67	139.83	0.54	0.37	0.67	0.98	0.47	0.13
2700000	0.67	144.34	0.52	0.35	0.73	0.99	0.68	0.11
2710000	0.66	143.37	0.50	0.27	0.77	0.98	0.64	0.18
2720000	0.66	142.85	0.49	0.35	0.66	0.97	0.65	0.21
2730000	0.66	146.47	0.55	0.42	0.70	0.96	0.70	0.10
2740000	0.66	141.26	0.49	0.35	0.73	1.00	0.63	0.08
2750000	0.66	146.65	0.55	0.27	0.84	0.99	0.68	0.10
2760000	0.66	144.72	0.57	0.34	0.69	0.96	0.63	0.15
2770000	0.66	143.66	0.52	0.36	0.66	0.93	0.70	0.15
2780000	0.66	143.73	0.56	0.30	0.67	0.99	0.64	0.16
2790000	0.65	141.44	0.45	0.40	0.72	0.99	0.64	0.10
2800000	0.65	143.9	0.46	0.36	0.75	0.98	0.59	0.20
2810000	0.65	140.45	0.49	0.28	0.71	0.99	0.68	0.11
2820000	0.65	138.81	0.51	0.30	0.62	0.96	0.59	0.16
2830000	0.65	143.48	0.52	0.33	0.72	1.00	0.60	0.15
2840000	0.65	140.21	0.54	0.23	0.72	0.97	0.60	0.13
2850000	0.65	137.68	0.41	0.38	0.71	0.99	0.55	0.13
2860000	0.65	143.07	0.54	0.30	0.65	1.00	0.65	0.19
2870000	0.64	143.23	0.55	0.31	0.78	0.96	0.58	0.11
2880000	0.64	145.25	0.59	0.32	0.73	0.98	0.57	0.19
2890000	0.64	139.72	0.52	0.40	0.67	0.96	0.50	0.12
2900000	0.64	141.35	0.50	0.38	0.72	0.97	0.54	0.11
2910000	0.64	145.33	0.57	0.36	0.68	1.00	0.65	0.13
2920000	0.64	145.13	0.61	0.32	0.71	0.99	0.61	0.11
2930000	0.64	148.04	0.56	0.39	0.76	0.97	0.66	0.13
2940000	0.64	139.96	0.52	0.29	0.67	0.97	0.62	0.12
2950000	0.63	140.22	0.55	0.33	0.64	0.97	0.63	0.09
2960000	0.63	144.31	0.52	0.43	0.69	0.99	0.66	0.07
2970000	0.63	143.87	0.50	0.34	0.65	0.99	0.66	0.22
2980000	0.63	144.77	0.51	0.34	0.70	1.00	0.66	0.15
2990000	0.63	141.57	0.51	0.33	0.72	0.98	0.56	0.16
3000000	0.63	142.08	0.45	0.36	0.70	0.99	0.64	0.16
3010000	0.63	145.1	0.54	0.38	0.69	0.99	0.65	0.12
3020000	0.63	144.37	0.49	0.40	0.72	1.00	0.68	0.10
3030000	0.62	135.55	0.38	0.32	0.66	0.97	0.63	0.14
3040000	0.62	143.57	0.50	0.28	0.71	0.99	0.68	0.16
3050000	0.62	137.7	0.45	0.28	0.63	0.99	0.63	0.17
3060000	0.62	149.85	0.54	0.36	0.67	1.00	0.75	0.21
3070000	0.62	145.39	0.55	0.36	0.67	0.99	0.62	0.15
3080000	0.62	143.56	0.56	0.42	0.67	0.98	0.58	0.11
3090000	0.62	142.14	0.54	0.34	0.65	0.99	0.64	0.11
3100000	0.62	145.59	0.58	0.39	0.65	0.98	0.62	0.16
3110000	0.62	142.62	0.53	0.37	0.62	0.98	0.62	0.14
3120000	0.61	143.39	0.56	0.31	0.62	0.98	0.68	0.13
3130000	0.61	147.09	0.57	0.39	0.71	0.97	0.61	0.17
3140000	0.61	144.69	0.54	0.36	0.71	0.99	0.63	0.15
3150000	0.61	142.95	0.45	0.39	0.71	0.99	0.65	0.14
